Run	Choice	Total	Excluded	To_process	Other
ERR10077512	partial_excluded	2	0	1	1
ERR10077516	partial_excluded	2	0	1	1
ERR10077553	partial_excluded	2	0	1	1
ERR10077556	partial_excluded	2	0	1	1
ERR10077565	partial_excluded	2	0	1	1
ERR10077569	partial_excluded	2	0	1	1
ERR10077572	partial_excluded	2	0	1	1
ERR10077577	partial_excluded	2	0	1	1
ERR10077591	partial_excluded	2	0	1	1
ERR10077595	partial_excluded	2	0	1	1
ERR10077618	partial_excluded	2	0	1	1
ERR10077626	partial_excluded	2	0	1	1
ERR10077652	partial_excluded	2	0	1	1
ERR10077657	partial_excluded	2	0	1	1
ERR10077666	partial_excluded	2	0	1	1
ERR10077672	partial_excluded	2	0	1	1
ERR10077675	partial_excluded	2	0	1	1
ERR10077678	partial_excluded	2	0	1	1
ERR10077680	partial_excluded	2	0	1	1
ERR10077693	partial_excluded	2	0	1	1
ERR10077699	partial_excluded	2	0	1	1
ERR10077706	partial_excluded	2	0	1	1
ERR10077710	partial_excluded	2	0	1	1
ERR10077713	partial_excluded	2	0	1	1
ERR10077717	partial_excluded	2	0	1	1
ERR10077721	partial_excluded	2	0	1	1
ERR10077725	partial_excluded	2	0	1	1
ERR10077733	partial_excluded	2	0	1	1
ERR10077738	partial_excluded	2	0	1	1
ERR10077743	partial_excluded	2	0	1	1
ERR10077744	partial_excluded	2	0	1	1
ERR10077750	partial_excluded	2	0	1	1
ERR10077753	partial_excluded	2	0	1	1
ERR10077756	partial_excluded	2	0	1	1
ERR10077771	partial_excluded	2	0	1	1
ERR10077780	partial_excluded	2	0	1	1
ERR10100782	partial_excluded	2	0	1	1
ERR10100783	partial_excluded	2	0	1	1
ERR10100784	partial_excluded	2	0	1	1
ERR10100785	partial_excluded	2	0	1	1
ERR10100786	partial_excluded	2	0	1	1
ERR10100787	partial_excluded	2	0	1	1
ERR10100788	partial_excluded	2	0	1	1
ERR10100789	partial_excluded	2	0	1	1
ERR10100790	partial_excluded	2	0	1	1
ERR10100791	partial_excluded	2	0	1	1
ERR10100792	partial_excluded	2	0	1	1
ERR10100794	partial_excluded	2	0	1	1
ERR10100796	partial_excluded	2	0	1	1
ERR10100797	partial_excluded	2	0	1	1
ERR10100798	partial_excluded	2	0	1	1
ERR10100799	partial_excluded	2	0	1	1
ERR10100800	partial_excluded	2	0	1	1
ERR10100801	partial_excluded	2	0	1	1
ERR10100802	partial_excluded	2	0	1	1
ERR10100803	partial_excluded	2	0	1	1
ERR10100804	partial_excluded	2	0	1	1
ERR10100805	partial_excluded	2	0	1	1
ERR10101410	partial_excluded	2	0	1	1
ERR10101411	partial_excluded	2	0	1	1
ERR10101412	partial_excluded	2	0	1	1
ERR10101413	partial_excluded	2	0	1	1
ERR10101414	partial_excluded	2	0	1	1
ERR10101415	partial_excluded	2	0	1	1
ERR10101416	partial_excluded	2	0	1	1
ERR10101417	partial_excluded	2	0	1	1
ERR10101418	partial_excluded	2	0	1	1
ERR10101419	partial_excluded	2	0	1	1
ERR10101420	partial_excluded	2	0	1	1
ERR10101421	partial_excluded	2	0	1	1
ERR10101422	partial_excluded	2	0	1	1
ERR10101423	partial_excluded	2	0	1	1
ERR10101424	partial_excluded	2	0	1	1
ERR10101425	partial_excluded	2	0	1	1
ERR10101426	partial_excluded	2	0	1	1
ERR10101427	partial_excluded	2	0	1	1
ERR10101428	partial_excluded	2	0	1	1
ERR10101429	partial_excluded	2	0	1	1
ERR10101430	partial_excluded	2	0	1	1
ERR10101431	partial_excluded	2	0	1	1
ERR10101433	partial_excluded	4	0	1	3
ERR10101446	partial_excluded	2	0	1	1
ERR10101447	partial_excluded	2	0	1	1
ERR10101448	partial_excluded	2	0	1	1
ERR10101449	partial_excluded	2	0	1	1
ERR10101450	partial_excluded	2	0	1	1
ERR10101451	partial_excluded	2	0	1	1
ERR10101452	partial_excluded	2	0	1	1
ERR10101453	partial_excluded	2	0	1	1
ERR10101454	partial_excluded	2	0	1	1
ERR10101455	partial_excluded	2	0	1	1
ERR10101456	partial_excluded	2	0	1	1
ERR10101457	partial_excluded	2	0	1	1
ERR10101458	partial_excluded	2	0	1	1
ERR10101459	partial_excluded	2	0	1	1
ERR10101460	partial_excluded	2	0	1	1
ERR10101461	partial_excluded	2	0	1	1
ERR10101462	partial_excluded	2	0	1	1
ERR10101463	partial_excluded	2	0	1	1
ERR10101464	partial_excluded	2	0	1	1
ERR10101465	partial_excluded	2	0	1	1
ERR10101466	partial_excluded	2	0	1	1
ERR10101467	partial_excluded	2	0	1	1
ERR10101468	partial_excluded	2	0	1	1
ERR10101469	partial_excluded	2	0	1	1
ERR10101470	partial_excluded	2	0	1	1
ERR10101471	partial_excluded	2	0	1	1
ERR10101472	partial_excluded	2	0	1	1
ERR10101473	partial_excluded	2	0	1	1
ERR10101474	partial_excluded	2	0	1	1
ERR10101475	partial_excluded	2	0	1	1
ERR10101476	partial_excluded	2	0	1	1
ERR10101477	partial_excluded	2	0	1	1
ERR10101478	partial_excluded	2	0	1	1
ERR10101479	partial_excluded	2	0	1	1
ERR10101480	partial_excluded	2	0	1	1
ERR10101481	partial_excluded	2	0	1	1
ERR10101482	partial_excluded	2	0	1	1
ERR10101483	partial_excluded	2	0	1	1
ERR10101484	partial_excluded	2	0	1	1
ERR10101485	partial_excluded	2	0	1	1
ERR10101486	partial_excluded	2	0	1	1
ERR10101487	partial_excluded	2	0	1	1
