d__Archaea;Other
d__Archaea;p__Halobacteriota;Other
d__Archaea;p__Halobacteriota;c__Methanosarcinia
d__Archaea;p__Thermoproteota
d__Bacteria;Other
d__Bacteria;p__Actinomycetota;c__Actinomycetia;Other
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;Other
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Actinomycetaceae
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae
d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae
d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales
d__Bacteria;p__Bacillota;c__Bacilli
d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae
d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae
d__Bacteria;p__Bacillota_A;c__Clostridia;Other
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;Other
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae
d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae
d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales
d__Bacteria;p__Bacteroidota;c__Bacteroidia;Other
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;Other
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae
d__Bacteria;p__Chloroflexota
d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales
d__Bacteria;p__Desulfobacterota
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;Other
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;Other
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;Other
d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae
